Coverage,EmploymentStatus,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Vehicle.Class,Customer.Lifetime.Value
Premium,Employed,40635,Married,101,0,6,Offer2,Four-Door Car,8022
Premium,Employed,59207,Single,116,0,2,Offer1,Four-Door Car,13770
Extended,Employed,30817,Divorced,88,0,1,Offer2,Four-Door Car,3436
Extended,Disabled,10275,Single,97,0,1,Offer1,Four-Door Car,3495
Basic,Disabled,11612,Married,71,0,5,Offer2,Four-Door Car,5623
Basic,Employed,89420,Married,67,0,2,Offer2,Four-Door Car,8100
Extended,Employed,25270,Married,99,0,2,Offer2,Two-Door Car,35022
Basic,Employed,38798,Married,72,0,1,Offer2,Four-Door Car,2853
Basic,Unemployed,0,Married,72,0,3,Offer2,Four-Door Car,5251
Premium,Employed,41449,Married,91,0,6,Offer2,Four-Door Car,7094
Basic,Employed,37057,Married,61,1,6,Offer1,Four-Door Car,4719
Basic,Medical Leave,16618,Single,64,0,1,Offer1,Four-Door Car,2309
Basic,Employed,58089,Married,118,0,1,Offer1,SUV,4686
Extended,Disabled,21720,Single,128,0,1,Offer4,SUV,4679
Basic,Employed,54495,Married,71.85525492,0,8,Offer1,Four-Door Car,4895
Basic,Employed,61281,Married,110,0,7,Offer1,SUV,8737
Basic,Unemployed,0,Single,68.97048547,0,4,Offer1,Two-Door Car,4479
Basic,Disabled,15587,Married,71,0,1,Offer2,Two-Door Car,2619
Basic,Medical Leave,11896,Married,69,0,5,Offer1,Two-Door Car,5227
Extended,Employed,66429,Single,81.10113408,0,1,Offer4,SUV,5380
Basic,Medical Leave,21827,Married,66,0,3,Offer1,Four-Door Car,5137
Extended,Employed,71210,Married,214,0,2,Offer1,Luxury Car,25807
Extended,Unemployed,0,Divorced,82,0,2,Offer4,Four-Door Car,14862
Basic,Disabled,25970,Married,72,3,2,Offer4,Four-Door Car,7778
Basic,Employed,63621,Married,73,0,8,Offer2,Four-Door Car,5614
Extended,Employed,94263,Married,98,0,3,Offer2,Four-Door Car,7842
Basic,Disabled,11698,Married,65,0,3,Offer2,Four-Door Car,4834
Basic,Employed,88997,Divorced,72,0,3,Offer2,Four-Door Car,5757
Basic,Employed,81367,Married,103,0,4,Offer3,SUV,8287
Basic,Employed,76194,Single,119,0,1,Offer1,SUV,4770
Basic,Employed,59311,Divorced,69,0,9,Offer1,Four-Door Car,5480
Basic,Retired,19683,Married,117,1,9,Offer1,Sports Car,8382
Extended,Employed,75680,Married,78,0,6,Offer2,Four-Door Car,6242
Basic,Disabled,23815,Married,73,0,2,Offer2,Four-Door Car,8257
Basic,Employed,37256,Married,62,0,2,Offer1,Four-Door Car,9816
Basic,Employed,72096,Married,64,0,5,Offer1,Two-Door Car,5123
Basic,Retired,26806,Married,63,0,2,Offer1,Four-Door Car,7019
Basic,Employed,95284,Married,69,0,4,Offer2,Four-Door Car,5603
Basic,Employed,35795,Married,65,0,1,Offer1,Two-Door Car,2582
Basic,Unemployed,0,Single,65,2,1,Offer1,Four-Door Car,2128
Extended,Unemployed,0,Single,90,0,2,Offer4,Two-Door Car,9498
Extended,Unemployed,0,Single,122,0,9,Offer1,Sports Car,9031
Basic,Employed,43259,Married,73,0,2,Offer1,Four-Door Car,8730
Premium,Employed,60880,Married,119,0,2,Offer1,Two-Door Car,14435
Premium,Unemployed,0,Married,101,4,1,Offer1,Four-Door Car,3173
Basic,Medical Leave,24030,Single,194,0,1,Offer1,Luxury SUV,7048
Premium,Employed,37675,Single,104,0,2,Offer3,Four-Door Car,32467
Basic,Medical Leave,19019,Married,186,0,1,Offer4,Luxury SUV,6991
Basic,Retired,27501,Married,71.30333259,0,1,Offer1,Four-Door Car,2398
Basic,Employed,40864,Married,109,1,1,Offer1,SUV,4282
Basic,Employed,22582,Married,61,0,2,Offer2,Four-Door Car,19339
Extended,Employed,41121,Divorced,94,0,2,Offer1,Four-Door Car,11211
Basic,Employed,44619,Married,68,0,1,Offer2,Four-Door Car,2758
Extended,Employed,72608,Married,82,3,8,Offer2,Four-Door Car,6521
Basic,Unemployed,0,Single,68,0,1,Offer1,Four-Door Car,2274
Basic,Employed,69841,Married,160.2007387,0,7,Offer1,Luxury SUV,15417
Basic,Employed,89451,Single,63,0,1,Offer2,Four-Door Car,2530
Basic,Unemployed,0,Single,74,0,3,Offer1,Four-Door Car,5252
Basic,Employed,56342,Single,69,0,1,Offer2,Four-Door Car,2674
Basic,Employed,53526,Married,68,0,4,Offer1,Four-Door Car,5471
Extended,Employed,71255,Single,138,0,4,Offer1,Sports Car,10876
Basic,Employed,77362,Married,70,0,1,Offer2,Two-Door Car,2796
Extended,Employed,54780,Married,78.08478575,3,5,Offer1,Four-Door Car,6862
Extended,Employed,79494,Married,89,0,3,Offer1,Four-Door Car,7218
Extended,Employed,46879,Married,86,2,3,Offer1,Four-Door Car,6756
Basic,Employed,29445,Married,68,0,9,Offer3,Four-Door Car,5354
Basic,Employed,51066,Single,68.05801575,0,5,Offer3,Two-Door Car,5765
Extended,Employed,75216,Married,84,1,1,Offer4,Four-Door Car,3360
Premium,Medical Leave,25404,Married,119,0,1,Offer1,SUV,4349
Basic,Employed,29853,Single,69,0,6,Offer1,Four-Door Car,5394
Extended,Retired,23376,Divorced,78,0,1,Offer2,Four-Door Car,2867
Extended,Employed,69090,Married,139,0,5,Offer1,Sports Car,11085
Basic,Employed,43278,Single,81.71739435,0,1,Offer4,Two-Door Car,2717
Basic,Unemployed,0,Married,61,0,1,Offer2,Four-Door Car,2229
Basic,Employed,30916,Married,112,0,2,Offer1,SUV,31161
Basic,Retired,28215,Single,64,0,3,Offer2,Two-Door Car,4644
Basic,Employed,97657,Married,71,0,8,Offer2,Two-Door Car,5755
Basic,Unemployed,0,Single,61,0,2,Offer1,Four-Door Car,19045
Extended,Unemployed,0,Married,122,0,1,Offer2,SUV,4270
Basic,Employed,26893,Married,68,0,9,Offer1,Four-Door Car,5395
Basic,Employed,73466,Divorced,79.26111364,0,2,Offer4,Two-Door Car,8131
Basic,Employed,48602,Married,70,0,5,Offer3,Two-Door Car,5616
Extended,Unemployed,0,Married,90,0,4,Offer1,Four-Door Car,6744
Basic,Unemployed,0,Divorced,63,0,1,Offer2,Four-Door Car,2288
Basic,Retired,24711,Divorced,62,0,6,Offer1,Two-Door Car,4328
Basic,Medical Leave,26840,Married,64,0,1,Offer1,Four-Door Car,2451
Extended,Disabled,20942,Divorced,84,0,2,Offer1,Four-Door Car,9670
Premium,Employed,29628,Married,106,0,9,Offer1,Two-Door Car,8482
Basic,Employed,34665,Married,64,0,2,Offer2,Two-Door Car,12723
Extended,Employed,67881,Married,79,0,4,Offer3,Two-Door Car,6383
Premium,Unemployed,0,Divorced,104,0,3,Offer1,Four-Door Car,7304
Basic,Employed,37256,Married,62,0,2,Offer1,Four-Door Car,9816
Basic,Employed,40589,Divorced,69,0,2,Offer4,Four-Door Car,8159
Extended,Disabled,28139,Married,97,2,3,Offer1,Four-Door Car,7080
Extended,Disabled,16266,Married,96,0,2,Offer3,Four-Door Car,10025
Basic,Employed,55350,Married,67,0,7,Offer1,Four-Door Car,5380
Basic,Employed,58058,Married,67,0,2,Offer2,Four-Door Car,8012
Basic,Employed,54827,Single,64,0,3,Offer1,Four-Door Car,4997
Basic,Employed,30686,Single,61,0,3,Offer2,Four-Door Car,4731
Basic,Employed,70059,Married,194,0,1,Offer2,Luxury SUV,7782
Basic,Employed,43145,Married,73,0,6,Offer3,Two-Door Car,5845
Basic,Employed,39035,Divorced,68,0,1,Offer2,Four-Door Car,2650
Extended,Employed,21020,Divorced,80,0,4,Offer4,Four-Door Car,6185
Basic,Employed,27608,Divorced,108,0,1,Offer1,SUV,4250
Basic,Employed,83283,Single,189,1,3,Offer1,Luxury SUV,15063
Basic,Employed,49009,Married,103,0,9,Offer3,SUV,8256
Basic,Employed,27514,Married,112.0440751,0,2,Offer1,SUV,14866
Extended,Employed,71333,Married,92,0,1,Offer2,Four-Door Car,3700
Basic,Employed,86355,Married,118,0,2,Offer1,Sports Car,14195
Basic,Unemployed,0,Single,72,2,2,Offer1,Four-Door Car,7292
Basic,Employed,49682,Single,101,0,3,Offer1,SUV,7757
Basic,Employed,78032,Married,103,0,3,Offer3,SUV,8302
Basic,Unemployed,0,Married,69,0,3,Offer4,Two-Door Car,5170
Premium,Medical Leave,13376,Single,108,0,4,Offer1,Four-Door Car,8221
Extended,Employed,61108,Divorced,89,0,2,Offer2,Four-Door Car,10484
Extended,Employed,51962,Married,125,4,1,Offer1,Sports Car,4804
Basic,Disabled,23815,Married,73,0,2,Offer2,Four-Door Car,8257
Premium,Employed,34911,Married,110,0,1,Offer4,Two-Door Car,4063
Premium,Unemployed,0,Married,139,1,2,Offer3,SUV,14741
Basic,Medical Leave,17576,Married,71,0,1,Offer2,Four-Door Car,2722
Basic,Employed,22241,Married,63,0,6,Offer2,Four-Door Car,5054
Basic,Employed,49136,Divorced,64,0,1,Offer4,Four-Door Car,2496
Basic,Employed,81082,Married,73,0,4,Offer2,Four-Door Car,5838
Extended,Employed,43875,Divorced,78,0,5,Offer3,Four-Door Car,6134
Extended,Unemployed,0,Single,183.7191513,0,1,Offer2,Luxury Car,9095
Basic,Retired,15648,Married,73,1,5,Offer2,Two-Door Car,5505
Basic,Unemployed,0,Single,67,2,1,Offer3,Four-Door Car,2052
Basic,Employed,77646,Married,71,0,6,Offer4,Four-Door Car,5723
Basic,Employed,97316,Married,67,0,7,Offer2,Two-Door Car,5387
Extended,Unemployed,0,Married,90,0,2,Offer1,Four-Door Car,10153
Extended,Unemployed,0,Married,83,0,1,Offer3,Two-Door Car,3059
Extended,Unemployed,0,Divorced,139,0,2,Offer1,SUV,14635
Extended,Retired,11721,Divorced,90,0,2,Offer1,Four-Door Car,10103
Basic,Employed,56502,Single,74,0,1,Offer3,Four-Door Car,2955
Basic,Retired,19683,Married,118,1,8,Offer2,SUV,8383
Extended,Unemployed,0,Married,93.27206428,0,1,Offer4,Four-Door Car,3339
Extended,Unemployed,0,Married,81,1,2,Offer3,Four-Door Car,23866
Basic,Employed,88867,Single,69,0,1,Offer3,Four-Door Car,2698
Basic,Employed,76374,Divorced,61,0,7,Offer2,Four-Door Car,4886
Extended,Employed,42526,Divorced,86,0,1,Offer2,Two-Door Car,3417
Extended,Unemployed,0,Single,78,1,1,Offer1,Four-Door Car,2668
Premium,Employed,83894,Married,110,0,2,Offer2,Four-Door Car,22242
Basic,Employed,99747,Single,72,0,5,Offer1,Two-Door Car,5687
Basic,Employed,76731,Married,64,0,1,Offer2,Four-Door Car,2582
Premium,Employed,65605,Married,111,2,7,Offer3,Two-Door Car,8652
Basic,Employed,67414,Married,68,0,8,Offer2,Four-Door Car,5424
Extended,Disabled,12503,Single,92,0,2,Offer1,Four-Door Car,20531
Basic,Unemployed,0,Single,65,0,8,Offer4,Four-Door Car,4484
Basic,Unemployed,0,Married,74,0,2,Offer2,Four-Door Car,7955
Basic,Employed,39886,Married,64,1,2,Offer3,Two-Door Car,12379
Extended,Retired,13663,Single,97,0,2,Offer1,Four-Door Car,25464
Basic,Employed,98859,Single,73.68496729,0,1,Offer2,Two-Door Car,2794
Extended,Employed,32314,Married,92,0,1,Offer1,Two-Door Car,3649
Premium,Employed,93272,Married,95,0,1,Offer2,Four-Door Car,3861
Extended,Employed,40269,Married,81,2,2,Offer2,Four-Door Car,9320
Extended,Unemployed,0,Married,82,0,2,Offer1,Two-Door Car,9227
Basic,Employed,92296,Married,69,0,1,Offer2,Two-Door Car,2759
Basic,Employed,62566,Married,65,1,1,Offer3,Four-Door Car,2598
Basic,Employed,35230,Married,99.56903245,0,3,Offer1,SUV,9424
Basic,Employed,44025,Single,69,0,1,Offer1,Two-Door Car,2728
Extended,Employed,78435,Divorced,130,0,4,Offer1,SUV,10479
Premium,Employed,29318,Single,198,5,1,Offer2,SUV,6930
Basic,Unemployed,0,Single,63,0,2,Offer1,Two-Door Car,17738
Basic,Employed,58620,Divorced,68,0,1,Offer2,Two-Door Car,2722
Extended,Medical Leave,19592,Divorced,92,0,2,Offer4,Four-Door Car,9927
Basic,Unemployed,0,Single,62,0,3,Offer1,Two-Door Car,4551
Basic,Unemployed,0,Single,73,0,2,Offer2,Four-Door Car,18399
Basic,Employed,84302,Married,188,0,1,Offer2,Luxury Car,7412
Extended,Medical Leave,19121,Married,95,0,1,Offer2,Four-Door Car,3645
Basic,Employed,79292,Married,67,0,1,Offer2,Four-Door Car,2700
Basic,Medical Leave,18263,Married,117,0,1,Offer1,SUV,4428
Extended,Employed,32627,Married,76,0,7,Offer1,Two-Door Car,6066
Basic,Employed,77846,Divorced,61,0,4,Offer2,Two-Door Car,4794
Extended,Employed,28377,Married,95.92715451,0,3,Offer2,Four-Door Car,7434
Basic,Employed,35095,Divorced,73,0,2,Offer2,Two-Door Car,16979
Extended,Employed,39135,Single,90,1,2,Offer1,Four-Door Car,10845
Extended,Employed,71737,Divorced,79,0,4,Offer3,Two-Door Car,6333
Basic,Employed,28786,Married,71,1,1,Offer1,Four-Door Car,2790
Extended,Unemployed,0,Single,97,0,1,Offer1,Four-Door Car,3508
Premium,Employed,81872,Married,115,0,2,Offer2,Four-Door Car,14024
Basic,Employed,44940,Single,65,0,1,Offer1,Four-Door Car,2570
Basic,Medical Leave,26736,Married,63,0,1,Offer1,Four-Door Car,2429
Extended,Unemployed,0,Single,96,0,2,Offer3,Four-Door Car,10611
Extended,Unemployed,0,Married,78,0,4,Offer2,Four-Door Car,5459
Extended,Unemployed,0,Single,89,0,2,Offer2,Two-Door Car,10004
Extended,Unemployed,0,Married,87,1,2,Offer2,Two-Door Car,15950
Extended,Unemployed,0,Married,92,0,2,Offer1,Four-Door Car,17349
Premium,Employed,90844,Divorced,119,0,2,Offer3,Four-Door Car,14040
Extended,Employed,35666,Divorced,131,0,1,Offer2,SUV,5142
Basic,Unemployed,0,Married,119,0,3,Offer2,Sports Car,9048
Basic,Employed,92722,Married,72,1,1,Offer2,Two-Door Car,2885
Basic,Employed,47481,Married,116,0,1,Offer4,SUV,4605
Basic,Employed,55916,Married,63,0,2,Offer4,Four-Door Car,7522
Extended,Employed,62455,Single,82.14880598,1,3,Offer3,Four-Door Car,6104
Extended,Employed,24432,Married,84,1,6,Offer2,Four-Door Car,6686
Basic,Unemployed,0,Single,72,0,2,Offer2,Two-Door Car,15122
Basic,Employed,86305,Married,62,0,5,Offer2,Four-Door Car,4984
Basic,Medical Leave,24732,Married,107,0,1,Offer3,Sports Car,4122
Basic,Employed,76731,Married,64,0,1,Offer2,Four-Door Car,2582
Extended,Employed,66446,Divorced,136,0,3,Offer2,SUV,10747
Basic,Employed,43383,Married,109,0,8,Offer3,SUV,8649
Extended,Employed,60021,Married,99,0,1,Offer2,Four-Door Car,3939
Premium,Employed,70341,Married,179,0,3,Offer4,SUV,14376
Basic,Disabled,17272,Married,101,0,1,Offer1,SUV,3982
Basic,Disabled,17870,Married,66.91313281,0,1,Offer2,Four-Door Car,2392
Basic,Medical Leave,19098,Married,75.83852623,0,1,Offer2,Two-Door Car,3220
Basic,Unemployed,0,Married,70,0,6,Offer1,Four-Door Car,5161
Premium,Unemployed,0,Single,116.7017024,0,2,Offer2,SUV,15814
Premium,Unemployed,0,Married,119,0,1,Offer4,SUV,4004
Extended,Employed,35704,Married,225,0,8,Offer1,Luxury Car,18042
Basic,Unemployed,0,Married,102,0,1,Offer2,SUV,3567
Basic,Employed,40516,Divorced,70,0,1,Offer3,Four-Door Car,2728
Extended,Employed,21499,Married,135,1,3,Offer2,SUV,10515
Basic,Employed,21907,Married,62,0,3,Offer2,Four-Door Car,4916
Basic,Disabled,14710,Single,112,0,2,Offer3,Sports Car,24186
Extended,Employed,73809,Married,125,0,1,Offer1,SUV,5015
Premium,Unemployed,0,Single,153,0,2,Offer3,SUV,32654
Basic,Employed,45281,Married,104,1,1,Offer1,Sports Car,4139
Basic,Employed,41121,Married,118.1582435,0,5,Offer1,SUV,11044
Basic,Employed,70279,Single,71,0,7,Offer4,Four-Door Car,5708
Basic,Unemployed,0,Married,69,0,1,Offer2,Four-Door Car,2595
Basic,Disabled,25398,Divorced,64,0,6,Offer2,Four-Door Car,4815
Extended,Retired,12902,Married,128,3,1,Offer1,SUV,4904
Basic,Employed,27907,Divorced,74,1,1,Offer3,Four-Door Car,2860
Premium,Employed,61374,Married,113,0,3,Offer2,Two-Door Car,9002
Extended,Unemployed,0,Married,139,0,2,Offer1,SUV,15672
Basic,Employed,52785,Married,61,0,1,Offer2,Two-Door Car,2452
Basic,Employed,27781,Married,71,0,2,Offer3,Four-Door Car,8491
Premium,Disabled,15897,Divorced,101,0,2,Offer2,Four-Door Car,15363
Extended,Employed,50407,Married,160.1958111,0,5,Offer1,Luxury SUV,18484
Extended,Employed,44368,Married,80,0,3,Offer2,Two-Door Car,6366
Basic,Employed,98110,Married,65,0,8,Offer1,Four-Door Car,5272
Basic,Unemployed,0,Married,70.53969991,0,5,Offer2,Four-Door Car,5504
Basic,Employed,37073,Married,66,0,1,Offer2,Four-Door Car,2612
Premium,Employed,51425,Married,119,0,3,Offer1,Four-Door Car,9378
Premium,Medical Leave,24345,Married,106,0,3,Offer2,Four-Door Car,8183
Basic,Employed,91653,Divorced,111,0,1,Offer2,SUV,4397
Basic,Unemployed,0,Single,117,0,3,Offer1,Sports Car,8356
Basic,Employed,29105,Married,117,0,1,Offer2,Sports Car,4633
Basic,Employed,29286,Married,75.20912985,0,1,Offer3,Four-Door Car,2727
Extended,Employed,20440,Married,128,2,9,Offer3,Sports Car,10064
Extended,Unemployed,0,Single,86,0,1,Offer2,Two-Door Car,3031
Extended,Employed,22705,Divorced,239,0,7,Offer2,Luxury SUV,19160
Extended,Unemployed,0,Single,129,0,2,Offer1,Sports Car,35984
Premium,Employed,75606,Married,119,0,7,Offer1,Four-Door Car,9581
Basic,Unemployed,0,Married,84.7277034,3,1,Offer1,Two-Door Car,2215
Extended,Employed,61108,Divorced,89,0,2,Offer2,Four-Door Car,10484
Basic,Unemployed,0,Single,65,0,1,Offer2,Four-Door Car,2337
Extended,Employed,58516,Married,98,0,2,Offer4,Two-Door Car,15806
Extended,Employed,63297,Married,84,0,1,Offer3,Four-Door Car,3317
Extended,Employed,59590,Divorced,136,0,5,Offer1,SUV,10592
Basic,Employed,34179,Married,107,0,2,Offer2,Sports Car,12519
Basic,Employed,68931,Married,66,0,7,Offer2,Four-Door Car,5332
Basic,Disabled,11097,Married,73,0,4,Offer3,Two-Door Car,5577
Basic,Employed,39626,Married,75.22610777,0,3,Offer2,Four-Door Car,5461
Extended,Unemployed,0,Single,95,0,5,Offer1,Four-Door Car,6725
Premium,Employed,39017,Married,170,2,3,Offer1,SUV,13306
Basic,Employed,31756,Married,107,0,3,Offer1,SUV,8417
Basic,Employed,55350,Married,67,0,9,Offer1,Four-Door Car,5380
Premium,Employed,42995,Married,158,0,9,Offer1,SUV,12157
Basic,Unemployed,0,Single,73,1,2,Offer1,Four-Door Car,7700
Basic,Employed,35693,Divorced,103,0,2,Offer1,Sports Car,12265
Basic,Employed,80355,Divorced,62,1,3,Offer1,Two-Door Car,4815
Basic,Unemployed,0,Single,79.5425028,0,2,Offer3,Two-Door Car,19278
Basic,Employed,69259,Divorced,63,0,1,Offer3,Four-Door Car,2535
Extended,Employed,98710,Married,123,0,2,Offer2,Sports Car,40132
Basic,Unemployed,0,Single,64,0,1,Offer4,Four-Door Car,2228
Basic,Employed,99612,Married,70,0,1,Offer2,Two-Door Car,2855
Extended,Employed,86205,Single,223,0,8,Offer3,Luxury Car,17776
Basic,Employed,49937,Married,64,0,2,Offer3,Two-Door Car,7597
Extended,Disabled,20031,Married,86,0,2,Offer1,Four-Door Car,22952
Extended,Employed,44368,Married,80,0,3,Offer2,Two-Door Car,6366
Basic,Employed,56900,Married,68,0,1,Offer3,Four-Door Car,2748
Premium,Employed,76184,Married,132.1154481,0,6,Offer2,SUV,9034
Basic,Employed,79507,Married,70,3,1,Offer2,Two-Door Car,2754
Basic,Employed,47823,Married,108,0,1,Offer2,Sports Car,4285
Premium,Employed,35830,Married,118,1,1,Offer1,Four-Door Car,4674
Basic,Unemployed,0,Divorced,112,0,3,Offer1,Sports Car,8007
Basic,Employed,62219,Married,69,0,4,Offer2,Two-Door Car,5550
Extended,Employed,33738,Single,95,0,1,Offer2,Two-Door Car,3702
Extended,Employed,67534,Married,87,2,5,Offer1,Four-Door Car,6920
Basic,Unemployed,0,Single,63,0,1,Offer1,Two-Door Car,2150
Basic,Employed,27005,Married,61,0,7,Offer4,Two-Door Car,4897
Basic,Retired,26802,Married,66,1,5,Offer2,Two-Door Car,4636
Basic,Unemployed,0,Married,113,0,2,Offer4,SUV,29037
Premium,Employed,59888,Married,84.43947541,2,8,Offer4,Two-Door Car,8447
Extended,Employed,56980,Married,84,0,9,Offer2,Four-Door Car,6689
Extended,Employed,66711,Married,86,0,1,Offer1,Two-Door Car,3479
Basic,Employed,55385,Single,61,0,3,Offer1,Four-Door Car,4732
Basic,Employed,80985,Married,67,0,1,Offer2,Four-Door Car,2706
Basic,Employed,86788,Single,70,0,1,Offer2,Four-Door Car,2751
Extended,Employed,30250,Married,93,0,6,Offer1,Four-Door Car,7366
Extended,Employed,66429,Married,134,0,1,Offer2,SUV,5377
Basic,Employed,20371,Married,71,1,1,Offer4,Four-Door Car,2810
Extended,Employed,45345,Married,125,0,2,Offer1,SUV,14696
Extended,Unemployed,0,Divorced,87,0,1,Offer1,Two-Door Car,3342
Extended,Unemployed,0,Single,78,0,1,Offer4,Four-Door Car,2651
Basic,Disabled,16916,Married,64,0,2,Offer3,Four-Door Car,7155
Basic,Employed,48893,Married,110,0,3,Offer1,SUV,8693
Extended,Unemployed,0,Single,84,0,9,Offer1,Four-Door Car,5639
Premium,Employed,88340,Married,103,0,2,Offer1,Two-Door Car,12280
Extended,Unemployed,0,Divorced,94,0,1,Offer1,Four-Door Car,3445
Extended,Unemployed,0,Single,94,0,6,Offer3,Two-Door Car,6291
Basic,Employed,24031,Divorced,109,0,7,Offer1,Sports Car,8496
Basic,Employed,53078,Single,73,0,5,Offer1,Four-Door Car,5677
Premium,Employed,83220,Married,110,0,1,Offer3,Four-Door Car,4434
Basic,Unemployed,0,Single,64,0,1,Offer4,Two-Door Car,2199
Basic,Unemployed,0,Single,67,0,4,Offer1,Two-Door Car,4628
Extended,Unemployed,0,Single,78,3,3,Offer4,Four-Door Car,4705
Basic,Employed,28524,Married,62,0,9,Offer2,Four-Door Car,4967
Extended,Employed,40308,Married,137,0,1,Offer1,Sports Car,5418
Extended,Unemployed,0,Single,99,1,4,Offer1,Four-Door Car,6699
Extended,Employed,65989,Married,123,1,2,Offer3,SUV,19834
Basic,Unemployed,0,Single,61,0,7,Offer1,Four-Door Car,4250
Extended,Employed,23277,Single,76.71839814,0,1,Offer2,Two-Door Car,3059
Basic,Unemployed,0,Single,67.20091031,0,1,Offer1,Two-Door Car,2108
Basic,Employed,91015,Divorced,73,1,2,Offer3,Two-Door Car,14663
Basic,Employed,80915,Married,70,0,1,Offer2,Four-Door Car,2807
Premium,Employed,91025,Married,113,3,3,Offer1,Four-Door Car,9065
Basic,Medical Leave,10853,Married,104,0,1,Offer2,SUV,3896
Premium,Employed,63035,Married,153,0,2,Offer1,SUV,49221
Extended,Employed,43922,Married,88,0,2,Offer2,Four-Door Car,10546
Basic,Employed,70974,Married,71,0,1,Offer1,Four-Door Car,2869
Basic,Employed,49675,Married,65,0,1,Offer2,Two-Door Car,2589
Extended,Employed,23156,Married,88,2,1,Offer4,Four-Door Car,3387
Basic,Employed,28728,Married,67,0,1,Offer4,Four-Door Car,2673
Basic,Unemployed,0,Single,64,0,4,Offer1,Four-Door Car,4630
Extended,Employed,20283,Divorced,77,0,3,Offer2,Two-Door Car,5953
Basic,Employed,75272,Married,103,0,1,Offer4,SUV,4122
Basic,Disabled,26184,Married,62,0,1,Offer4,Two-Door Car,2354
Basic,Employed,39621,Married,109,1,1,Offer4,SUV,4274
Basic,Employed,76792,Married,62,0,1,Offer3,Four-Door Car,2498
Extended,Employed,39719,Divorced,131,0,3,Offer1,Sports Car,10213
Extended,Employed,72988,Married,127,0,2,Offer3,SUV,15234
Basic,Unemployed,0,Divorced,110,0,2,Offer2,SUV,25900
Extended,Employed,92895,Married,77,0,7,Offer2,Two-Door Car,6252
Basic,Employed,74069,Divorced,63,2,2,Offer1,Two-Door Car,7298
Extended,Employed,71333,Married,93,0,1,Offer2,Four-Door Car,3721
Basic,Disabled,17109,Married,62,0,2,Offer2,Two-Door Car,9259
Basic,Retired,21137,Married,65,0,9,Offer1,Four-Door Car,4458
Basic,Employed,70446,Married,65,0,9,Offer4,Four-Door Car,5275
Basic,Employed,96866,Divorced,113,1,2,Offer1,SUV,26939
Basic,Employed,97131,Married,64,0,6,Offer2,Four-Door Car,5181
Premium,Medical Leave,15462,Married,115,0,1,Offer1,Four-Door Car,4506
Basic,Employed,55705,Divorced,113,0,2,Offer2,SUV,26243
Basic,Retired,14973,Divorced,115,0,2,Offer1,SUV,12168
Extended,Employed,87560,Married,98,1,2,Offer1,Two-Door Car,11986
Basic,Unemployed,0,Single,106,0,1,Offer3,Sports Car,3732
Basic,Unemployed,0,Single,74,0,2,Offer1,Two-Door Car,7756
Basic,Employed,54378,Married,66,0,1,Offer2,Four-Door Car,2637
Basic,Employed,52926,Married,61,0,1,Offer1,Four-Door Car,2457
Basic,Employed,61146,Married,65,0,6,Offer2,Four-Door Car,5259
Basic,Employed,88059,Married,63,0,1,Offer4,Four-Door Car,2560
Extended,Unemployed,0,Married,87,0,3,Offer1,Two-Door Car,6331
Basic,Employed,55067,Single,110,1,2,Offer1,SUV,13014
Basic,Employed,62076,Married,71,0,2,Offer3,Four-Door Car,8491
Extended,Employed,26140,Married,84,1,1,Offer4,Two-Door Car,3269
Premium,Employed,33531,Married,116,0,1,Offer4,Two-Door Car,4547
Extended,Employed,44368,Married,80,0,3,Offer2,Two-Door Car,6366
Extended,Employed,24164,Divorced,137,0,5,Offer2,Sports Car,10972
Premium,Unemployed,0,Married,104,0,2,Offer1,SUV,29676
Basic,Employed,77846,Married,119,0,1,Offer1,Sports Car,4798
Basic,Unemployed,0,Single,70,0,2,Offer1,Two-Door Car,12556
Extended,Employed,34615,Married,87,0,7,Offer1,Four-Door Car,6886
Basic,Employed,41456,Married,73,0,1,Offer4,Four-Door Car,2919
Extended,Disabled,25222,Single,90,0,3,Offer2,Four-Door Car,6554
Extended,Unemployed,0,Single,83,0,4,Offer3,Four-Door Car,5849
Extended,Employed,59232,Divorced,84,0,2,Offer2,Four-Door Car,10242
Basic,Employed,56005,Married,68,1,3,Offer1,Four-Door Car,5479
Basic,Employed,69259,Married,66,1,1,Offer3,Four-Door Car,2545
Basic,Unemployed,0,Married,65,0,1,Offer1,Two-Door Car,2398
Premium,Medical Leave,26435,Married,111,1,1,Offer1,Four-Door Car,4209
Extended,Employed,37934,Divorced,137,1,8,Offer1,Sports Car,10506
Basic,Employed,53243,Divorced,66,2,1,Offer1,Four-Door Car,2521
Premium,Medical Leave,15142,Married,116,0,3,Offer2,Two-Door Car,8903
Extended,Medical Leave,23830,Married,76,0,1,Offer4,Two-Door Car,2776
Basic,Employed,51641,Single,63,1,1,Offer1,Four-Door Car,2465
Basic,Employed,52440,Single,71,0,2,Offer2,Two-Door Car,8548
Extended,Medical Leave,16495,Married,85,3,1,Offer1,Four-Door Car,2962
Extended,Employed,23616,Married,83,0,7,Offer3,Two-Door Car,6610
Basic,Unemployed,0,Single,114,1,8,Offer1,SUV,8098
Extended,Employed,44006,Single,130,0,4,Offer1,Sports Car,9853
Extended,Employed,60244,Married,79,0,1,Offer3,Four-Door Car,3193
